Reference,Vaccine,Intervention_category,Country,N,Age_m,Age_formatted,N_doses,Vaccine_formatted,Study_vaccines_original,Intervention_formatted,Intervention,Control_formatted,Control,Measure_of_SC,Int_SC_n,Int_N,Int_SC_perc,Int_SC_full,Ctrl_SC_n,Ctrl_N,Ctrl_SC_perc,Ctrl_SC_full,Total,Age_group,Baseline_seroconversion,Income_setting,Income_group,SC_timing_preferred
Estivariz (2015),Polio,Narrow dose interval,Bangladesh,1000,1.4,1.4,3,3x bOPV,bOPV,2w interval,Three doses - short interval (2w apart),4w interval,Wide (4w),OPV3 N-AB,175,186,94%,175/186 (94%),176,184,96%,176/184 (96%),370,infant,0.956521739,lowermiddle,low_lowermiddle,0
Estivariz (2015),Polio,Narrow dose interval,Bangladesh,1000,1.4,1.4,3,3x mOPV1,"mOPV1 (2 doses, 0 & 1m)",2w interval,Three doses - short interval (2w apart),4w interval,Wide (4w),OPV1 N-AB,180,188,96%,180/188 (96%),178,179,99%,178/179 (99%),367,infant,0.994413408,lowermiddle,low_lowermiddle,0
Mir (2015),Polio,Narrow dose interval,Pakistan,1009,0,0,2,"tOPV, mOPV1","tOPV at birth, then mOPV1",1w interval,Two doses - short interval (1w apart),4w interval,Wide (4w),OPV1 N-AB,105,135,78%,105/135 (78%),129,148,87%,129/148 (87%),283,infant,0.871621622,lowermiddle,low_lowermiddle,1
Anh (2011),Rotavirus,Narrow dose interval,Vietnam,375,2,2,2,2x RV1,RV1,4w interval,Two doses - short interval (4w apart),8w interval,Wide (8w),Rotavirus IgA AB,73,130,56%,73/130 (56%),73,130,56%,73/130 (56%),260,infant,0.561538462,lowermiddle,low_lowermiddle,1
Asturias (2016),Polio,OPV valence,Multiple,940,1.4,1.4,3,3x OPV,"3 doses, 6,10,14w",bOPV,bOPV,tOPV,tOPV,OPV1 N-AB,197,198,99%,197/198 (99%),86,88,98%,86/88 (98%),286,infant,0.977272727,multiple,uppermiddle_high,1
Asturias (2016),Polio,OPV valence,Multiple,940,1.4,1.4,3,3x OPV,"3 doses, 6,10,14w",bOPV,bOPV,tOPV,tOPV,OPV3 N-AB,195,198,98%,195/198 (98%),87,88,99%,87/88 (99%),286,infant,0.988636364,multiple,uppermiddle_high,1
El-Sayed (2008),Polio,OPV valence,Egypt,530,0,0,1,1x OPV,1 dose at birth,mOPV1,mOPV1,tOPV,tOPV,OPV1 N-AB,128,231,55%,128/231 (55%),61,190,32%,61/190 (32%),421,infant,0.321052632,lowermiddle,low_lowermiddle,1
John (1976),Polio,OPV valence,India,79,1.5 - 10.25,1.5--10.3,1,1x OPV,1 dose,mOPV1,mOPV1,tOPV,tOPV,OPV1 N-AB,16,18,89%,16/18 (89%),11,26,42%,11/26 (42%),44,infant,0.423076923,lowermiddle,low_lowermiddle,1
John (2011),Polio,OPV valence,India,718,0,0,2,2x OPV,"2 doses, 0 & 1m",mOPV1,mOPV1,tOPV,tOPV,OPV1 N-AB,108,124,87%,108/124 (87%),80,143,56%,80/143 (56%),267,infant,0.559440559,lowermiddle,low_lowermiddle,1
John (2011),Polio,OPV valence,India,597,0,0,1,1x OPV,1 dose at birth,mOPV1,mOPV1,tOPV,tOPVx,OPV1 N-AB,27,173,16%,27/173 (16%),18,176,10%,18/176 (10%),349,infant,0.102272727,lowermiddle,low_lowermiddle,1
Patriarca (1988),Polio,OPV valence,Brazil,734,9.6,9.6,1,1x OPV,1 dose,mOPV3,mOPV3,tOPV,tOPV,OPV3 N-AB,41,79,52%,41/79 (52%),13,83,16%,13/83 (16%),162,infant,0.156626506,uppermiddle,uppermiddle_high,0
Saleem (2017),Polio,OPV valence,Pakistan,900,0,0,4,4x OPV,"4 doses, 0,6,10,14w",bOPV,bOPV,tOPV,tOPV,OPV1 N-AB,140,144,97%,140/144 (97%),126,134,94%,126/134 (94%),278,infant,0.940298507,lowermiddle,low_lowermiddle,0
Saleem (2017),Polio,OPV valence,Pakistan,900,0,0,4,4x OPV,"4 doses, 0,6,10,14w",bOPV,bOPV,tOPV,tOPV,OPV3 N-AB,135,144,94%,135/144 (94%),114,134,85%,114/134 (85%),278,infant,0.850746269,lowermiddle,low_lowermiddle,0
Sutter (2000),Polio,OPV valence,Oman,1025,9,9,1,1x OPV,1 dose,mOPV3,Single dose mOPV3,tOPV,Single dose tOPV (SmithKline Europe),OPV3 N-AB,189,205,92%,189/205 (92%),155,177,88%,155/177 (88%),382,infant,0.875706215,high,uppermiddle_high,1
Sutter (2010) *,Polio,OPV valence,India,900,0,0,2,2x OPV,"2 doses, 0 & 1m",mOPV1,mOPV1,tOPV,tOPV,OPV1 N-AB,151,168,90%,151/168 (90%),106,168,63%,106/168 (63%),336,infant,0.630952381,lowermiddle,low_lowermiddle,1
Sutter (2010) *,Polio,OPV valence,India,900,0,0,2,2x OPV,"2 doses, 0 & 1m",mOPV3,mOPV3,tOPV,tOPV,OPV3 N-AB,139,165,84%,139/165 (84%),87,168,52%,87/168 (52%),333,infant,0.517857143,lowermiddle,low_lowermiddle,1
Waggie (2012),Polio,OPV valence,South Africa,800,0,0,1,1x OPV,1 dose at birth,mOPV1,mOPV1,tOPV,tOPV,OPV1 N-AB,141,192,73%,141/192 (73%),72,184,39%,72/184 (39%),376,infant,0.391304348,uppermiddle,uppermiddle_high,1
Waggie (2012),Polio,OPV valence,South Africa,800,0,0,1,1x OPV,1 dose at birth,mOPV3,mOPV3,tOPV,tOPV,OPV3 N-AB,113,195,58%,113/195 (58%),39,184,21%,39/184 (21%),379,infant,0.211956522,uppermiddle,uppermiddle_high,1
Matsuda (2011),Cholera,Probiotic,Bangladesh,128,44.1,44.1,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",Bbb01 (10^9),Bifidobacterium breve 01 4x10^9 CFU probiotic,Placebo,Placebo,Vibriocidal AB,40,64,63%,40/64 (63%),47,62,76%,47/62 (76%),126,child_under5y,0.758064516,lowermiddle,low_lowermiddle,1
DeVrese (2005) *,Polio,Probiotic,Germany,66,Adult,Adult,1,1x OPV1,"OPV1, OPV2 & OPV3 (1 dose D8)",LGG,Lactobacillus GG 10^10 cfu,Placebo,Placebo,OPV1 N-AB,19,21,90%,19/21 (90%),18,22,82%,18/22 (82%),43,adult,0.818181818,high,uppermiddle_high,0
DeVrese (2005) *,Polio,Probiotic,Germany,66,Adult,Adult,1,1x OPV2,"OPV1, OPV2 & OPV3 (1 dose D8)",LGG,Lactobacillus GG 10^10 cfu,Placebo,Placebo,OPV2 N-AB,18,21,86%,18/21 (86%),15,22,68%,15/22 (68%),43,adult,0.681818182,high,uppermiddle_high,0
DeVrese (2005) *,Polio,Probiotic,Germany,66,Adult,Adult,1,1x OPV3,"OPV1, OPV2 & OPV3 (1 dose D8)",LGG,Lactobacillus GG 10^10 cfu,Placebo,Placebo,OPV3 N-AB,12,21,57%,12/21 (57%),8,22,36%,8/22 (36%),43,adult,0.363636364,high,uppermiddle_high,0
Isolauri (1995),Rotavirus,Probiotic,Finland,UC,4.1,4.1,1,1x DxRRV,DxRRV (1 dose) ,Lc ATCC,Lactobacillus casei ATCC 5x10^10 CFU,Placebo,Placebo,Rotavirus IgA AB,26,28,93%,26/28 (93%),20,27,74%,20/27 (74%),55,infant,0.740740741,high,uppermiddle_high,1
Lazarus (2017),Rotavirus,Probiotic,India,620,1.2,1.2,1,1x RV1,"RV1 (2 doses, 6,10w)",LGG,Lactobacillus rhamnosus GG gelatin with 10^10 organisms,Placebo,Placebo,Rotavirus IgA AB,42,136,31%,42/136 (31%),37,135,27%,37/135 (27%),271,infant,0.274074074,lowermiddle,low_lowermiddle,1
Ciarlet (2008),Polio,RVV separated from OPV,Multiple,735,2,2,3,3x tOPV,RV5; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,Stag.,OPV1 N-AB,324,326,99%,324/326 (99%),364,368,99%,364/368 (99%),694,infant,0.989130435,uppermiddle,uppermiddle_high,0
Ciarlet (2008),Polio,RVV separated from OPV,Multiple,735,2,2,3,3x tOPV,RV5; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,Stag.,OPV2 N-AB,325,326,100%,325/326 (100%),367,368,100%,367/368 (100%),694,infant,0.997282609,uppermiddle,uppermiddle_high,0
Ciarlet (2008),Polio,RVV separated from OPV,Multiple,735,2,2,3,3x tOPV,RV5; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,Stag.,OPV3 N-AB,321,326,98%,321/326 (98%),362,368,98%,362/368 (98%),694,infant,0.983695652,uppermiddle,uppermiddle_high,0
Giammanco (1988),Polio,RVV separated from OPV,Italy,86,3,3,1,1x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,18,21,86%,18/21 (86%),16,23,70%,16/23 (70%),44,infant,0.695652174,high,uppermiddle_high,1
Giammanco (1988),Polio,RVV separated from OPV,Italy,86,3,3,1,1x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV3 N-AB,11,21,52%,11/21 (52%),6,23,26%,6/23 (26%),44,infant,0.260869565,high,uppermiddle_high,1
Hanlon (1987),Polio,RVV separated from OPV,Gambia,433,2.5,2.5,3,3x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,79,95,83%,79/95 (83%),68,87,78%,68/87 (78%),182,infant,0.781609195,low,low_lowermiddle,1
Hanlon (1987),Polio,RVV separated from OPV,Gambia,433,2.5,2.5,3,3x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV2 N-AB,90,95,95%,90/95 (95%),82,87,94%,82/87 (94%),182,infant,0.942528736,low,low_lowermiddle,1
Hanlon (1987),Polio,RVV separated from OPV,Gambia,433,2.5,2.5,3,3x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV3 N-AB,57,95,60%,57/95 (60%),45,87,52%,45/87 (52%),182,infant,0.517241379,low,low_lowermiddle,1
Migasena (1995),Polio,RVV separated from OPV,Thailand,330,2.0 - 6.0,2--6,3,3x tOPV,RRV-TV; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,86,94,91%,86/94 (91%),74,88,84%,74/88 (84%),182,infant,0.840909091,uppermiddle,uppermiddle_high,1
Steele (2010),Polio,RVV separated from OPV,South Africa,450,1.5,1.5,2,2x tOPV,RV1; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,68,68,100%,68/68 (100%),52,52,100%,52/52 (100%),120,infant,1,uppermiddle,uppermiddle_high,1
Steele (2010),Polio,RVV separated from OPV,South Africa,450,1.5,1.5,2,2x tOPV,RV1; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV2 N-AB,68,68,100%,68/68 (100%),52,52,100%,52/52 (100%),120,infant,1,uppermiddle,uppermiddle_high,1
Steele (2010),Polio,RVV separated from OPV,South Africa,450,1.5,1.5,2,2x tOPV,RV1; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV3 N-AB,61,62,99%,61/62 (99%),49,50,98%,49/50 (98%),112,infant,0.98,uppermiddle,uppermiddle_high,1
Vodopija (1986),Polio,RVV separated from OPV,Yugoslavia,160,3,3,1,1x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,21,35,60%,21/35 (60%),21,33,64%,21/33 (64%),68,infant,0.636363636,uppermiddle,uppermiddle_high,1
Vodopija (1986),Polio,RVV separated from OPV,Yugoslavia,160,3,3,1,1x tOPV,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV3 N-AB,12,33,36%,12/33 (36%),11,29,38%,11/29 (38%),62,infant,0.379310345,uppermiddle,uppermiddle_high,1
Zaman (2009),Polio,RVV separated from OPV,Bangladesh,300,1.4,1.4,3,3x tOPV,RV1; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV1 N-AB,33,35,94%,33/35 (94%),57,66,86%,57/66 (86%),101,infant,0.863636364,lowermiddle,low_lowermiddle,1
Zaman (2009),Polio,RVV separated from OPV,Bangladesh,300,1.4,1.4,3,3x tOPV,RV1; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV2 N-AB,33,34,97%,33/34 (97%),67,68,99%,67/68 (99%),102,infant,0.985294118,lowermiddle,low_lowermiddle,1
Zaman (2009),Polio,RVV separated from OPV,Bangladesh,300,1.4,1.4,3,3x tOPV,RV1; tOPV,w/o RVV,Concomitant RVV & OPV,w/ RVV,OPV & placebo,OPV3 N-AB,22,36,61%,22/36 (61%),48,69,70%,48/69 (70%),105,infant,0.695652174,lowermiddle,low_lowermiddle,1
Ciarlet (2008),Rotavirus,RVV separated from OPV,Multiple,735,2,2,3,3x RV5,RV5; tOPV,w/o OPV,Concomitant RVV & OPV,w/ OPV,Stag.,Rotavirus IgA AB,319,326,98%,319/326 (98%),343,368,93%,343/368 (93%),694,infant,0.932065217,uppermiddle,uppermiddle_high,0
Giammanco (1988),Rotavirus,RVV separated from OPV,Italy,86,3,3,1,1x RIT4237,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ OPV,RVV & placebo,Rotavirus IgM or IgG,14,24,58%,14/24 (58%),2,23,9%,2/23 (9%),47,infant,0.086956522,high,uppermiddle_high,1
Hanlon (1987),Rotavirus,RVV separated from OPV,Gambia,433,2.5,2.5,3,3x RIT4237,RIT4237; tOPV,w/IPV,Concomitant RVV & OPV,w/ OPV,RVV & IPV,Rotavirus N-AB,46,99,46%,46/99 (46%),38,86,44%,38/86 (44%),185,infant,0.441860465,low,low_lowermiddle,1
Migasena (1995),Rotavirus,RVV separated from OPV,Thailand,330,2.0 - 6.0,2--6,3,3x RRV-TV,RRV-TV; tOPV,w/ placebo,Concomitant RVV & OPV,w/ OPV,RVV & IPV,Rotavirus IgA AB,25,91,27%,25/91 (27%),15,89,17%,15/89 (17%),180,infant,0.168539326,uppermiddle,uppermiddle_high,1
Steele (2010) *,Rotavirus,RVV separated from OPV,South Africa,271,1.5,1.5,2,"RV1 (6,10w)",RV1; tOPV,w/ placebo,Concomitant RVV & OPV,w/ OPV,RVV & IPV,Rotavirus IgA AB,28,65,43%,28/65 (43%),24,67,36%,24/67 (36%),132,infant,0.358208955,uppermiddle,uppermiddle_high,1
Steele (2010) *,Rotavirus,RVV separated from OPV,South Africa,179,1.5,1.5,2,"RV1 (10,14w)",RV1; tOPV,w/ placebo,Concomitant RVV & OPV,w/ OPV,RVV & IPV,Rotavirus IgA AB,28,51,55%,28/51 (55%),30,49,61%,30/49 (61%),100,infant,0.612244898,uppermiddle,uppermiddle_high,1
Vodopija (1986),Rotavirus,RVV separated from OPV,Yugoslavia,160,3,3,1,1x RIT4237,RIT4237; tOPV,w/ placebo,Concomitant RVV & OPV,w/ OPV,RVV & placebo,Rotavirus N-AB,19,29,66%,19/29 (66%),10,38,26%,10/38 (26%),67,infant,0.263157895,uppermiddle,uppermiddle_high,1
Zaman (2009),Rotavirus,RVV separated from OPV,Bangladesh,300,1.4,1.4,2,2x RV1,RV1; tOPV,w/o OPV,Concomitant RVV & OPV,w/ OPV,RVV alone,Rotavirus IgA AB,44,66,67%,44/66 (67%),39,69,57%,39/69 (57%),135,infant,0.565217391,lowermiddle,low_lowermiddle,1
Albert (2003),Cholera,Vitamin A,Bangladesh,256,40,40,2,2x Cholerix,"Cholerix (2 doses, 2w apart)",Vit A (200k IU),"Vitamin A (200,000 IU)",Placebo,Placebo,Vibriocidal AB,34,61,56%,34/61 (56%),29,63,46%,29/63 (46%),124,child_under5y,0.46031746,lowermiddle,low_lowermiddle,1
Bahl (2002),Polio,Vitamin A,India,526,0.8,0.8,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) (plus maternal single-dose 60mg (18-28d post partum))",Placebo,Placebo,OPV1 N-AB,159,194,82%,159/194 (82%),146,205,71%,146/205 (71%),399,infant,0.712195122,lowermiddle,low_lowermiddle,0
Bahl (2002),Polio,Vitamin A,India,526,0.8,0.8,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) (plus maternal single-dose 60mg (18-28d post partum))",Placebo,Placebo,OPV2 N-AB,179,194,92%,179/194 (92%),191,205,93%,191/205 (93%),399,infant,0.931707317,lowermiddle,low_lowermiddle,0
Bahl (2002),Polio,Vitamin A,India,526,0.8,0.8,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) (plus maternal single-dose 60mg (18-28d post partum))",Placebo,Placebo,OPV3 N-AB,164,194,85%,164/194 (85%),165,205,80%,165/205 (80%),399,infant,0.804878049,lowermiddle,low_lowermiddle,0
Newton (2005),Polio,Vitamin A,Ghana,1085,0.9,0.9,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) ",Placebo,Placebo,OPV1 N-AB,174,192,91%,174/192 (91%),181,194,93%,181/194 (93%),386,infant,0.932989691,lowermiddle,low_lowermiddle,0
Newton (2005),Polio,Vitamin A,Ghana,1085,0.9,0.9,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) ",Placebo,Placebo,OPV2 N-AB,181,192,94%,181/192 (94%),183,194,94%,183/194 (94%),386,infant,0.943298969,lowermiddle,low_lowermiddle,0
Newton (2005),Polio,Vitamin A,Ghana,1085,0.9,0.9,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (25k IU),"Vitamin A (25,000 IU) or (RE 7.5mg) ",Placebo,Placebo,OPV3 N-AB,171,192,89%,171/192 (89%),171,194,88%,171/194 (88%),386,infant,0.881443299,lowermiddle,low_lowermiddle,0
Rahman (1998),Polio,Vitamin A,Bangladesh,57,1.5 - 4.25,1.5--4.3,3,3x tOPV,"tOPV (3 doses D0, D28 & D56)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV1 N-AB,27,34,79%,27/34 (79%),19,23,83%,19/23 (83%),57,infant,0.826086957,lowermiddle,low_lowermiddle,1
Rahman (1998),Polio,Vitamin A,Bangladesh,57,1.5 - 4.25,1.5--4.3,3,3x tOPV,"tOPV (3 doses D0, D28 & D56)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV2 N-AB,28,34,82%,28/34 (82%),21,23,91%,21/23 (91%),57,infant,0.913043478,lowermiddle,low_lowermiddle,1
Rahman (1998),Polio,Vitamin A,Bangladesh,57,1.5 - 4.25,1.5--4.3,3,3x tOPV,"tOPV (3 doses D0, D28 & D56)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV3 N-AB,28,34,82%,28/34 (82%),20,23,87%,20/23 (87%),57,infant,0.869565217,lowermiddle,low_lowermiddle,1
Semba (1999),Polio,Vitamin A,Indonesia,467,1.7,1.7,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV1 N-AB,100,102,98%,100/102 (98%),91,92,99%,91/92 (99%),194,infant,0.989130435,lowermiddle,low_lowermiddle,0
Semba (1999),Polio,Vitamin A,Indonesia,467,1.7,1.7,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV2 N-AB,116,116,100%,116/116 (100%),113,113,100%,113/113 (100%),229,infant,1,lowermiddle,low_lowermiddle,0
Semba (1999),Polio,Vitamin A,Indonesia,467,1.7,1.7,3,3x tOPV,"tOPV (3 doses 6,10,14w)",Vit A (50k IU),"Vitamin A (50,000 IU)",Placebo,Placebo,OPV3 N-AB,113,113,100%,113/113 (100%),111,112,99%,111/112 (99%),225,infant,0.991071429,lowermiddle,low_lowermiddle,0
Ahmed (Jan 2009),Cholera,Zinc,Bangladesh,176,7.5,7.5,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",Zinc (20mg),Zinc (20mg),No Zinc,No Zinc,Vibriocidal AB,11,36,31%,11/36 (31%),27,47,57%,27/47 (57%),83,infant,0.574468085,lowermiddle,low_lowermiddle,1
Ahmed (Jan 2009),Cholera,Zinc,Bangladesh,164,14,14,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",Zinc (20mg),Zinc (20mg),No Zinc,No Zinc,Vibriocidal AB,27,34,79%,27/34 (79%),27,49,55%,27/49 (55%),83,child_under5y,0.551020408,lowermiddle,low_lowermiddle,1
Ahmed (Oct 2009),Cholera,Zinc,Bangladesh,60,14,14,2,2x WC-rBS,"WC-rBS (2 doses, 2w apart)",Zinc (20mg),Zinc (20mg),No Zinc,No Zinc,Vibriocidal AB,15,18,83%,15/18 (83%),11,20,55%,11/20 (55%),38,child_under5y,0.55,lowermiddle,low_lowermiddle,1
Albert (2003),Cholera,Zinc,Bangladesh,256,40,40,2,2x Cholerix,"Cholerix (2 doses, 2w apart)",Zinc (20mg),Zinc (20mg),Placebo,Placebo,Vibriocidal AB,39,63,62%,39/63 (62%),29,63,46%,29/63 (46%),126,child_under5y,0.46031746,lowermiddle,low_lowermiddle,1
Habib (2015),Polio,Zinc,Pakistan,404,0.3,0.3,4,4x tOPV,"tOPV (4 doses, 0,6,10,14w)",Zinc (10mg),Zinc (10mg),Placebo,Placebo,OPV1 N-AB,136,156,87%,136/156 (87%),139,163,85%,139/163 (85%),319,infant,0.852760736,lowermiddle,low_lowermiddle,1
Habib (2015),Polio,Zinc,Pakistan,404,0.3,0.3,4,4x tOPV,"tOPV (4 doses, 0,6,10,14w)",Zinc (10mg),Zinc (10mg),Placebo,Placebo,OPV2 N-AB,127,156,81%,127/156 (81%),126,163,77%,126/163 (77%),319,infant,0.773006135,lowermiddle,low_lowermiddle,1
Habib (2015),Polio,Zinc,Pakistan,404,0.3,0.3,4,4x tOPV,"tOPV (4 doses, 0,6,10,14w)",Zinc (10mg),Zinc (10mg),Placebo,Placebo,OPV3 N-AB,94,156,60%,94/156 (60%),99,163,61%,99/163 (61%),319,infant,0.607361963,lowermiddle,low_lowermiddle,1
Lazarus (2017),Rotavirus,Zinc,India,620,1.2,1.2,2,2x RV1,"RV1 (2 doses, 6,10w)",Zinc (5mg),Zinc (5mg),Placebo,Placebo,Rotavirus IgA AB,40,143,28%,40/143 (28%),37,135,27%,37/135 (27%),278,infant,0.274074074,lowermiddle,low_lowermiddle,1
